"Name","test_mse.mean","State","Created","Runtime","latent_encoder_depth","latent_encoder_width","poly_degree","pre_processor_layers","ring_emb_dim","num_ensemble","num_steps","test_68_ci.mean","test_95_ci.mean","test_99_ci.mean","test_median.mean","train_68_ci.mean","train_95_ci.mean","train_99_ci.mean","train_median.mean","train_mse.mean","test_rmse_in_newtons"
"fine-dragon-50","1.0169337337667292","finished","2025-02-07T00:02:19.000Z","227","2","8","1","","24","32","10000","0.9060049192471936","2.115123759616505","2.618659658865495","0.5901714644648812","0.4543001109903509","1.3300369002602317","2.2718929052352905","0.3055396350947293","0.626296498558738","4.48550252593726"
"classic-lion-107","1.0046738304875114","finished","2025-02-07T02:20:08.000Z","253","3","16","1","","3","32","10000","0.950567440553145","2.0181486227295617","2.4212024970488115","0.5870770608836954","0.1503204107284546","0.48191237449646","0.7364869334480979","0.09776411611925472","0.2227151854471727","4.4583824816565025"
"fiery-plant-110","0.9925746457143264","finished","2025-02-07T02:26:19.000Z","363","3","64","1","[8,8]","3","32","10000","0.9090154062617908","2.054287997159091","2.4940995357253333","0.561362540180033","0.42146123268387536","1.0934719985181636","1.754753307862715","0.2637465000152588","0.520880176262422","4.431455242170772"
"visionary-tree-135","0.857358685948632","finished","2025-02-07T03:35:09.000Z","266","4","16","1","","24","32","10000","0.7771849469705061","1.7565857280384412","2.204645861278881","0.504042003642429","0.28497768532146106","0.8178219632668928","1.417046232656999","0.17833360894159836","0.3890496546571905","4.118566233936592"
"zesty-voice-142","0.9251953038302336","finished","2025-02-07T03:52:41.000Z","418","4","64","1","[8,8]","24","32","10000","0.8600125854665582","1.9397363391789524","2.36381057175723","0.5143792845986106","0.41846766526048834","1.0681497563015332","1.7163960391824895","0.26691759716380725","0.5123253545977853","4.278401013050464"
"lilac-oath-96","1.085267400199717","finished","2025-02-07T01:51:04.000Z","252","3","8","1","","12","32","10000","0.9155093756589022","2.3365216201001946","2.9645789211446587","0.5809701003811576","0.5462584874846719","1.73406690900976","3.01340972293507","0.33049816435033624","0.7987271547317505","4.63375595751448"
"clear-cosmos-99","0.9900590845129706","finished","2025-02-07T01:58:15.000Z","332","3","32","1","[16,5]","12","32","10000","0.9830388914455068","1.9399047656492752","2.3853269544514744","0.6140006252310493","0.1389547667720101","0.4614511565728621","0.7152955369515852","0.08862346004356038","0.2114896503361789","4.425836184225543"
"dry-water-51","1.0351523404771632","finished","2025-02-07T00:04:31.000Z","239","2","32","1","","24","32","10000","0.938927951184186","2.1298616311766883","2.54291756586595","0.632877685806968","0.37865063548088074","1.1216876940293743","1.9904725551605225","0.25677500529722735","0.5298692313107577","4.5255035798514065"
"rural-tree-75","1.0393534356897527","finished","2025-02-07T00:59:19.000Z","278","2","16","1","[8,8]","12","32","10000","0.9862652691927823","2.113600026477467","2.5491509383374993","0.6232665411450646","0.4010182564908808","1.082659277048978","1.8271170312708072","0.25415140932256525","0.5236848186362874","4.534677505237258"
"decent-haze-43","1.3835292079231956","finished","2025-02-06T23:46:25.000Z","276","1","64","1","[16,5]","12","32","10000","1.242611294442957","2.8615020513534546","3.8739417899738657","0.7733330238949169","0.4936432323672555","1.8850682757117532","3.5351252122358843","0.3007451729340987","0.8547763824462891","5.231894098136437"
"hearty-serenity-40","1.4205410480499268","finished","2025-02-06T23:40:54.000Z","248","1","16","1","[8,8]","12","32","10000","1.1106726418841968","3.1103210665962915","4.27808800610629","0.7386214760216799","0.5938377813859419","2.5377653295343574","4.442648064006459","0.3691851550882513","1.078153512694619","5.301413411111945"
"dainty-bee-81","1.0075424313545227","finished","2025-02-07T01:12:45.000Z","291","3","8","1","[8,8]","24","32","10000","0.9201229187575254","2.087993946942416","2.6215686147863213","0.5892646637829867","0.5025931271639738","1.3367628834464331","2.2555511864748867","0.31690509752793744","0.646399202671918","4.464742856177672"
"floral-sea-32","1.4147203673015942","finished","2025-02-06T23:25:34.000Z","203","1","16","1","","24","32","10000","1.1597121628847988","3.081546436656605","4.247838107022372","0.7461561235514554","0.5839380892840299","2.618853352286599","4.663340178402987","0.3647892746058377","1.1144299832257358","5.290540965707885"
"confused-plasma-120","1.0044990886341445","finished","2025-02-07T02:54:16.000Z","305","4","8","1","[8,8]","3","32","10000","0.8966073502193798","2.1072474122047424","2.5430600968274204","0.5425206626003439","0.30352119965986774","0.8205465349284086","1.364914059638977","0.1982489119876515","0.3972829417748885","4.457994743928745"
"effortless-bush-100","1.0001681013540789","finished","2025-02-07T02:00:23.000Z","317","3","16","1","[16,5]","24","32","10000","0.9156163036823272","2.0443532033400102","2.44414499131116","0.6022760190747001","0.43714007193391974","1.1157733743840998","1.8299688642675227","0.28255338018590753","0.5413601317188956","4.448373841701308"
"radiant-planet-13","1.38876165043224","finished","2025-02-06T22:45:34.000Z","267","1","8","1","[16,5]","24","32","10000","1.1116249561309814","3.0255942994898017","4.194501389156688","0.7008197686888955","0.6318899067965421","2.595304770903154","4.4836789477955215","0.3677994419227947","1.1082146817987617","5.241778150623445"
"cosmic-jazz-53","1.1540857336737893","finished","2025-02-07T00:08:31.000Z","281","2","32","1","[8,8]","3","32","10000","1.1632126027887515","2.2360579750754614","2.6032808152112095","0.7592834288423712","0.18276955729181116","0.5044331360947002","0.8266179128126665","0.1162818507714705","0.2454993020404469","4.778414447424874"
